[2023-11-28 10:48:43.236735]: , Filename: jobone.txt, Time: 100, Type: write, Job Created
[2023-11-28 10:48:43.237735]: , Filename: jobtwo.txt, Time: 200, Type: write, Job Created
[2023-11-28 10:48:51.268634]: , Filename: jobone.txt, Time: 100, Type: write, Job Created
[2023-11-28 10:48:51.268634]: , Filename: jobtwo.txt, Time: 200, Type: write, Job Created
[2023-11-28 10:48:51.269650]: Filename: jobtwo.txt, Time: 200, Type: write, Job Started
[2023-11-28 10:48:51.278307]: Filename: jobtwo.txt, Time: 200, Type: write, Job Failure: File Already Written
[2023-11-28 10:48:51.479912]: Filename: jobone.txt, Time: 100, Type: write, Job Started
[2023-11-28 10:48:51.486334]: Filename: jobone.txt, Time: 100, Type: write, Job Failure: File Already Written
[2023-11-28 11:19:03.301193]: , Filename: jobone.txt, Line Count: 100, Time: 2375, Type: write, Job Created
[2023-11-28 11:19:03.301193]: , Filename: jobtwo.txt, Line Count: 200, Time: 2941, Type: write, Job Created
[2023-11-28 11:19:03.301193]: Filename: jobtwo.txt, Line Count: 200, Time: 2941, Type: write, Job Started
[2023-11-28 11:19:03.301193]: Filename: jobtwo.txt, Line Count: 200, Time: 2941, Type: write, Job Failure: File Already Written
[2023-11-28 11:19:06.246347]: Filename: jobone.txt, Line Count: 100, Time: 2375, Type: write, Job Started
[2023-11-28 11:19:06.246347]: Filename: jobone.txt, Line Count: 100, Time: 2375, Type: write, Job Failure: File Already Written
[2023-11-28 11:20:39.217143]: , Filename: jobone.txt, Line Count: 100, Time: 3262, Type: write, Job Created
[2023-11-28 11:20:39.217143]: , Filename: jobtwo.txt, Line Count: 200, Time: 2408, Type: write, Job Created
[2023-11-28 11:20:39.217143]: Filename: jobtwo.txt, Line Count: 200, Time: 2408, Type: write, Job Started
[2023-11-28 11:20:39.217143]: Filename: jobtwo.txt, Line Count: 200, Time: 2408, Type: write, Job Failure: File Already Written
[2023-11-28 11:20:41.633774]: Filename: jobone.txt, Line Count: 100, Time: 3262, Type: write, Job Started
[2023-11-28 11:20:41.634809]: Filename: jobone.txt, Line Count: 100, Time: 3262, Type: write, Job Failure: File Already Written
[2023-11-28 11:21:05.435467]: , Filename: jobone.txt, Line Count: 100, Time: 2291, Type: write, Job Created
[2023-11-28 11:21:05.435467]: , Filename: jobtwo.txt, Line Count: 200, Time: 4587, Type: write, Job Created
[2023-11-28 11:21:05.435467]: Filename: jobtwo.txt, Line Count: 200, Time: 4587, Type: write, Job Started
[2023-11-28 11:21:05.437919]: Filename: jobtwo.txt, Line Count: 200, Time: 4587, Type: write, Job Failure: File Already Written
[2023-11-28 11:21:10.025970]: Filename: jobone.txt, Line Count: 100, Time: 2291, Type: write, Job Started
[2023-11-28 11:21:10.025970]: Filename: jobone.txt, Line Count: 100, Time: 2291, Type: write, Job Failure: File Already Written
[2023-11-28 11:25:54.489468]: Filename: jobone.txt, Line Count: 100, Time: 2156, Type: write, Job Created
[2023-11-28 11:25:54.489468]: Filename: jobtwo.txt, Line Count: 200, Time: 3367, Type: write, Job Created
[2023-11-28 11:25:54.489468]: Filename: jobtwo.txt, Line Count: 200, Time: 3367, Type: write, Job Started
[2023-11-28 11:25:54.489468]: Filename: jobtwo.txt, Line Count: 200, Time: 3367, Type: write, Job Failure: File Already Written
[2023-11-28 11:25:57.860513]: Filename: jobone.txt, Line Count: 100, Time: 2156, Type: write, Job Started
[2023-11-28 11:25:57.860513]: Filename: jobone.txt, Line Count: 100, Time: 2156, Type: write, Job Failure: File Already Written
[2023-11-28 11:30:54.229309]: Filename: jobone.txt, Line Count: 100, Time: 2314, Type: write, Job Created
[2023-11-28 11:30:54.229309]: Filename: jobtwo.txt, Line Count: 200, Time: 5095, Type: write, Job Created
[2023-11-28 11:30:54.229309]: Filename: jobtwo.txt, Line Count: 200, Time: 5095, Type: write, Job Started
[2023-11-28 11:30:54.229309]: Filename: jobtwo.txt, Line Count: 200, Time: 5095, Type: write, Job Failure: File Already Written
[2023-11-28 11:30:59.336511]: Filename: jobone.txt, Line Count: 100, Time: 2314, Type: write, Job Started
[2023-11-28 11:30:59.336511]: Filename: jobone.txt, Line Count: 100, Time: 2314, Type: write, Job Failure: File Already Written
[2023-11-28 11:33:55.515778]: Filename: jobone.txt, Line Count: 100, Time: 757, Type: write, Job Created
[2023-11-28 11:33:55.515778]: Filename: jobtwo.txt, Line Count: 200, Time: 578, Type: write, Job Created
[2023-11-28 11:33:55.517818]: Filename: jobtwo.txt, Line Count: 200, Time: 578, Type: write, Job Started
[2023-11-28 11:33:55.517818]: Filename: jobtwo.txt, Line Count: 200, Time: 578, Type: write, Job Failure: File Already Written
[2023-11-28 11:33:56.097586]: Filename: jobone.txt, Line Count: 100, Time: 757, Type: write, Job Started
[2023-11-28 11:33:56.097586]: Filename: jobone.txt, Line Count: 100, Time: 757, Type: write, Job Failure: File Already Written
[2023-11-28 11:35:03.835352]: Filename: jobone.txt, Line Count: 100, Time: 861, Type: write, Job Created
